gtdb_phylum	gtdb_family	n_species	pct_phaC	phylum_pct_phaC	odds_ratio	p_value	enrichment	p_corrected	enrichment_corrected
Actinomycetota	Acidimicrobiaceae	13	23.1	18.832711231761113	1.2945652173913043	0.7208491092599941	ns	1.0	ns
Actinomycetota	Bog-793	14	7.1	18.832711231761113	0.3303249097472924	0.4901738077606267	ns	1.0	ns
Actinomycetota	Ilumatobacteraceae	59	5.1	18.832711231761113	0.2267080745341615	0.00376171413953971	depleted	0.932905106605848	ns
Actinomycetota	MedAcidi-G1	32	0.0	18.832711231761113	0.0	0.0022045201647536983	depleted	0.5467210008589172	ns
Actinomycetota	Microtrichaceae	16	18.8	18.832711231761113	0.9945652173913043	1.0	ns	1.0	ns
Actinomycetota	RAAP-2	72	11.1	18.832711231761113	0.5319926873857403	0.09448576914301818	ns	1.0	ns
Actinomycetota	TK06	22	18.2	18.832711231761113	0.9574510990118975	1.0	ns	1.0	ns
Actinomycetota	UBA11606	14	0.0	18.832711231761113	0.0	0.0866620335195886	ns	1.0	ns
Actinomycetota	UBA8592	12	0.0	18.832711231761113	0.0	0.1390187281940543	ns	1.0	ns
Actinomycetota	Actinomarinaceae	26	0.0	18.832711231761113	0.0	0.009039611901777642	depleted	1.0	ns
Actinomycetota	Actinomycetaceae	115	7.0	18.832711231761113	0.31232380529310255	0.00036742401522217143	depleted	0.09112115577509852	ns
Actinomycetota	Bifidobacteriaceae	98	0.0	18.832711231761113	0.0	1.31132998618225e-09	depleted	3.25209836573198e-07	depleted
Actinomycetota	Brevibacteriaceae	29	0.0	18.832711231761113	0.0	0.003422163606490257	depleted	0.8486965744095838	ns
Actinomycetota	Cellulomonadaceae	57	0.0	18.832711231761113	0.0	8.803205772002268e-06	depleted	0.0021831950314565624	depleted
Actinomycetota	Dermabacteraceae	15	0.0	18.832711231761113	0.0	0.09011077277596767	ns	1.0	ns
Actinomycetota	Dermatophilaceae	54	24.1	18.832711231761113	1.3753487534875348	0.29651050695514325	ns	1.0	ns
Actinomycetota	Microbacteriaceae	330	0.0	18.832711231761113	0.0	2.3785437484238404e-32	depleted	5.898788496091124e-30	depleted
Actinomycetota	Micrococcaceae	155	0.6	18.832711231761113	0.02623189085282948	2.7416050257384725e-13	depleted	6.799180463831412e-11	depleted
Actinomycetota	Frankiaceae	14	0.0	18.832711231761113	0.0	0.0866620335195886	ns	1.0	ns
Actinomycetota	Geodermatophilaceae	12	66.7	18.832711231761113	8.731261425959781	0.00036560777517669253	enriched	0.09067072824381975	ns
Actinomycetota	Micromonosporaceae	86	0.0	18.832711231761113	0.0	2.2104282675361052e-08	depleted	5.481862103489541e-06	depleted
Actinomycetota	Mycobacteriaceae	481	72.6	18.832711231761113	29.006325389820535	1.239126571538093e-190	enriched	3.073033897414471e-188	enriched
Actinomycetota	Pseudonocardiaceae	94	54.3	18.832711231761113	5.527823920265781	5.3600202491321e-15	enriched	1.3292850217847607e-12	enriched
