orgId	locusId	gene_cluster_id	root_og	OG_id	taxonomic_tier	tier_source	hypothesis_status	conservation_score	ignorance_score	importance_score	n_species	n_phyla	evidence_summary
acidovorax_3H11	Ac3H11_6				species	FB-only	weak_lead	1.0	2	2.0	1.0	1.0	module-bare
acidovorax_3H11	Ac3H11_8				species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_9	NZ_LUKZ01000035.1_7			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_12	JAIBEQ010000254.1_4	334QF		class	pangenome	true_knowledge_gap	5.428399737243448	3	16.285199211730344	80.0	1.0	none
acidovorax_3H11	Ac3H11_14	JAIBEQ010000254.1_2	COG3832	OG01827	kingdom	pangenome	weak_lead	7.9223075209495315	2	15.844615041899063	12508.0	88.0	named-domain
acidovorax_3H11	Ac3H11_15	NZ_LUKZ01000035.1_14	COG4390	OG09214	kingdom	pangenome	weak_lead	7.648749539385055	2	15.29749907877011	762.0	4.0	DUF-only
acidovorax_3H11	Ac3H11_16	JAIBEQ010000336.1_3	31QBJ	OG12832	kingdom	pangenome	true_knowledge_gap	7.619159935522904	3	22.857479806568712	563.0	20.0	none
acidovorax_3H11	Ac3H11_19	JAIBEQ010000541.1_1	COG2866	OG06039	kingdom	pangenome	weak_lead	7.910922562222693	2	15.821845124445385	11133.0	83.0	named-domain
acidovorax_3H11	Ac3H11_20	JAIBEQ010000928.1_7			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_21	NZ_LUKZ01000035.1_20	2ZSCI		order	pangenome	weak_lead	4.427169998713421	2	8.854339997426843	79.0	1.0	strong-fitness
acidovorax_3H11	Ac3H11_22	NZ_LUKZ01000035.1_21	COG3668		kingdom	pangenome	strong_hypothesis	7.91932361566747	1	7.91932361566747	12132.0	94.0	EC-prediction; GapMind-low; named-domain
acidovorax_3H11	Ac3H11_23	NZ_LUKZ01000035.1_22	33B20		kingdom	pangenome	strong_hypothesis	7.59572519886252	1	7.59572519886252	443.0	40.0	named-domain; strong-fitness
acidovorax_3H11	Ac3H11_25	NZ_LUKZ01000035.1_24			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_26	NZ_LUKZ01000035.1_25	COG4185	OG13145	kingdom	pangenome	weak_lead	7.849754014605461	2	15.699508029210921	5955.0	76.0	named-domain
acidovorax_3H11	Ac3H11_30	NZ_LUKZ01000035.1_29	COG1186	OG02444	kingdom	pangenome	weak_lead	7.99413624920704	2	15.98827249841408	26078.0	132.0	named-domain
acidovorax_3H11	Ac3H11_31	NZ_LUKZ01000035.1_30	COG3384	OG02592	kingdom	pangenome	weak_lead	7.8871740677790605	2	15.774348135558121	8732.0	66.0	named-domain
acidovorax_3H11	Ac3H11_36	NZ_LUKZ01000035.1_36	2ZNPG		order	pangenome	true_knowledge_gap	4.287856964406184	3	12.86357089321855	19.0	1.0	none
acidovorax_3H11	Ac3H11_45				species	FB-only	weak_lead	1.0	2	2.0	1.0	1.0	module-bare
acidovorax_3H11	Ac3H11_51	NZ_LUKZ01000035.1_54			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_52	NZ_LUKZ01000035.1_56			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_53				species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_55	NZ_LUKZ01000035.1_58			species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_62	JAIBEQ010000543.1_6	32RG4	OG00311	order	pangenome	weak_lead	4.422090262700633	2	8.844180525401265	75.0	1.0	DUF-only
acidovorax_3H11	Ac3H11_74	NZ_LUKZ01000035.1_77	COG0695		kingdom	pangenome	strong_hypothesis	7.954848554422296	1	7.954848554422296	17448.0	111.0	named-domain; strong-fitness; module-bare
acidovorax_3H11	Ac3H11_83	NZ_LUKZ01000035.1_87			species	FB-only	weak_lead	1.0	2	2.0	1.0	1.0	strong-fitness; module-bare
acidovorax_3H11	Ac3H11_87	JAIBEQ010000509.1_3			species	FB-only	weak_lead	1.0	2	2.0	1.0	1.0	strong-fitness
acidovorax_3H11	Ac3H11_88	NZ_LUKZ01000035.1_92	330VR		phylum	pangenome	true_knowledge_gap	6.389974744538179	3	19.169924233614537	54.0	1.0	none
acidovorax_3H11	Ac3H11_89	NZ_LUKZ01000035.1_93	COG4704	OG04346	kingdom	pangenome	weak_lead	7.8392436650217	2	15.6784873300434	5348.0	52.0	DUF-only
acidovorax_3H11	Ac3H11_92				species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_96	NZ_LUKZ01000035.1_99	COG1359	OG11944	kingdom	pangenome	weak_lead	7.9296892179637934	2	15.859378435927587	13489.0	71.0	GapMind-low
acidovorax_3H11	Ac3H11_110	JAIBEQ010000818.1_2	32Y3R	OG09227	class	pangenome	weak_lead	5.586230690345518	2	11.172461380691036	402.0	1.0	DUF-only; strong-fitness
acidovorax_3H11	Ac3H11_111	JAIBEQ010000818.1_3	COG3575	OG04873	kingdom	pangenome	weak_lead	7.766684104970936	2	15.533368209941871	2546.0	20.0	named-domain
acidovorax_3H11	Ac3H11_119				species	FB-only	true_knowledge_gap	1.0	3	3.0	1.0	1.0	none
acidovorax_3H11	Ac3H11_121	NZ_LUKZ01000030.1_3	COG3540	OG16788	kingdom	pangenome	weak_lead	7.866269911713606	2	15.732539823427212	7051.0	55.0	named-domain
acidovorax_3H11	Ac3H11_122	NZ_LUKZ01000030.1_5	COG2114		kingdom	pangenome	weak_lead	7.922635244363759	2	15.845270488727518	12550.0	112.0	named-domain
