org	genus	phylum	tractability	is_fb	n_new	sum_importance	objective_value	cumulative_genes	cumulative_importance	pct_covered	n_kingdom	n_phylum_tier	n_knowledge_gap	n_weak_lead
Pseudomonas aeruginosa PAO1	Pseudomonas	Pseudomonadota	0.8	False	3713	59192.18058246722	71030.61669896067	3713	59192.18058246722	31.535586886359773	3250	93	970	2498
Vibrio cholerae O1 El Tor N16961	Vibrio	Pseudomonadota	0.7	False	1049	16616.156745074954	11631.309721552467	4762	75808.33732754218	40.44504841175471	787	29	370	620
Btheta	Bacteroides	Bacteroidota	0.6	True	691	10348.1565256682	9313.34087310138	5453	86156.49385321038	46.313912009512485	503	0	238	417
Burkholderia cenocepacia K56-2	Burkholderia	Pseudomonadota	0.4	False	956	14291.515281342592	5716.606112537037	6409	100448.00913455298	54.43349753694581	434	91	545	396
Smeli	Sinorhizobium	Pseudomonadota	0.6	True	384	5666.694849522977	3400.0169097137864	6793	106114.70398407595	57.6949210124002	169	45	215	159
Mycobacterium tuberculosis H37Rv	Mycobacterium	Actinomycetota	0.8	False	131	2087.7734807068605	2505.328176848233	6924	108202.47746478282	58.80754204178699	115	0	45	73
MR1	Shewanella	Pseudomonadota	0.8	True	244	2822.099343031255	2257.679474425004	7168	111024.57680781407	60.879904875148625	56	2	140	95
Klebsiella pneumoniae KPNIH1	Klebsiella	Pseudomonadota	0.5	False	263	4032.7692768516386	2016.3846384258193	7431	115057.34608466571	63.11364022422287	138	19	137	113
DvH	Desulfovibrio	Pseudomonadota	0.5	True	257	3421.287950395289	1710.6439751976445	7688	118478.634035061	65.29641583149312	95	16	140	107
SynE	Synechococcus	Cyanobacteriota	0.3	True	272	3753.0036544980744	1688.8516445241335	7960	122231.63768955907	67.60659079327331	97	4	105	147
Caulo	Caulobacter	Pseudomonadota	0.6	True	174	2499.67061479737	1499.802368878422	8134	124731.30830435644	69.08442330558859	53	26	92	79
Ponti	Pontibacter	Bacteroidota	0.3	True	311	4679.110580591532	1403.7331741774597	8445	129410.41888494797	71.72583658909461	170	21	136	160
Methanococcus_S2	Methanococcus	Halobacteriota	0.3	True	250	2697.541206460025	1213.8935429070114	8695	132107.960091408	73.84915916426024	90	9	120	115
Phaeo	Phaeobacter	Pseudomonadota	0.3	True	308	3860.94190263949	1158.2825707918469	9003	135968.90199404748	76.46509257686428	75	29	178	124
Korea	Sphingomonas	Pseudomonadota	0.3	True	233	3344.5434671504836	1003.3630401451451	9236	139313.44546119796	78.44402921691864	75	29	154	76
Marino	Marinobacter	Pseudomonadota	0.5	True	99	1495.4638052664832	747.7319026332416	9335	140808.90926646444	79.28486495668422	43	6	58	38
Putida	Pseudomonas	Pseudomonadota	0.8	True	166	1722.9350620865632	689.1740248346254	9501	142531.844328551	80.69475114659419	26	4	107	58
Dino	Dinoroseobacter	Pseudomonadota	0.3	True	175	2221.5794320702303	666.4738296210691	9676	144753.42376062123	82.18107694921012	49	28	88	77
PS	Dechlorosoma	Pseudomonadota	0.3	True	143	2146.2171819673554	643.8651545902065	9819	146899.6409425886	83.39561746220487	54	9	92	51
RalstoniaGMI1000	Ralstonia	Pseudomonadota	0.3	True	171	1965.911239277014	589.7733717831042	9990	148865.5521818656	84.84797010361814	16	10	139	32
acidovorax_3H11	Acidovorax	Pseudomonadota	0.3	True	123	1750.142219432842	525.0426658298526	10113	150615.69440129845	85.89264481059963	40	7	73	49
Acinetobacter baumannii ATCC 17978	Acinetobacter	Pseudomonadota	0.6	False	51	793.3212211688343	475.99273270130055	10164	151409.01562246727	86.32580261593341	26	3	29	20
azobra	Azospirillum	Pseudomonadota	0.3	True	91	1444.3983044462261	433.3194913338678	10255	152853.4139269135	87.0986920332937	30	16	69	21
Burk376	Paraburkholderia	Pseudomonadota	0.3	True	98	1113.6981337130385	334.10944011391155	10353	153967.11206062653	87.93103448275862	7	15	83	15
Cup4G11	Cupriavidus	Pseudomonadota	0.3	True	99	992.2252660975308	297.66757982925924	10452	154959.33732672405	88.77187022252421	14	5	62	37
pseudo1_N1B4	Pseudomonas	Pseudomonadota	0.7	True	172	1682.7463613636476	294.4806132386383	10624	156642.0836880877	90.23271615423816	20	11	113	57
Pedo557	Pedobacter	Bacteroidota	0.3	True	68	950.1701616550336	285.0510484965101	10692	157592.25384974273	90.8102598946832	24	0	38	29
Dda3937	Dickeya	Pseudomonadota	0.3	True	75	760.4096934362697	228.1229080308809	10767	158352.663543179	91.44725666723289	4	3	57	17
HerbieS	Herbaspirillum	Pseudomonadota	0.3	True	61	736.2839361296182	220.88518083888545	10828	159088.9474793086	91.96534737557329	9	4	36	24
PV4	Shewanella	Pseudomonadota	0.3	True	119	1250.9134361694287	187.6370154254143	10947	160339.86091547803	92.97604892135213	16	1	74	44
BFirm	Burkholderia	Pseudomonadota	0.3	True	93	880.2548501460125	132.03822752190186	11040	161220.11576562404	93.76592491931373	10	2	67	23
psRCH2	Pseudomonas	Pseudomonadota	0.55	True	162	1847.861592825057	127.04048450672268	11202	163067.9773584491	95.14183794802106	27	10	92	69
Erwinia amylovora CFBP 1430	Erwinia	Pseudomonadota	0.3	False	13	192.8917892060157	57.8675367618047	11215	163260.86914765512	95.25225072192967	2	2	9	4
Methanococcus_JJ	Methanococcus	Halobacteriota	0.3	True	27	276.4919465322197	41.47379197983295	11242	163537.36109418733	95.48156956004756	6	0	19	7
ANA3	Shewanella	Pseudomonadota	0.3	True	50	516.4098945944193	38.730742094581444	11292	164053.77098878176	95.90623407508069	2	1	28	20
