orgId	locusId	sysName	gene	desc	annotation_class	darkness_tier	n_evidence_lines	has_domain	has_ortholog_group	has_function_prediction	has_cofit_partner	has_phenotype	has_pangenome_context	has_synteny_support	has_cofit_operon	has_neighbor_inference	has_concordance	composite_score	score_source	n_domains	OG_id	module_prediction	top_cofit_partners	max_abs_fit	is_essential_dark	has_pangenome_link	top_condition_class	top_condition_fit	evidence_summary
acidovorax_3H11	Ac3H11_8			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.1335976	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_92			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.2871438	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_267			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.2212912	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_270			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.670879	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_275			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.90798396	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_454			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.6793402	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_728			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.36318284	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_783			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.8125765	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_829			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.1376191	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_1168			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.7395955	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_1463			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.103148	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_1522			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.6952056	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_1749			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.9827964	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_1962			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.8796111	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_2080			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.8846801	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_2469			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.37523726	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_2758			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.59932894	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_2883			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.3813113	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_2919			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.3249987	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3048			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.6057978	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3070			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.6944499	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3074			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.6256201	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3077			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.91315407	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3088			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					1.4956551	False	False			+neighbor_inf
acidovorax_3H11	Ac3H11_3120			hypothetical protein	hypothetical	T1_Void	0	False	False	False	False	False	False	False	False	True	False		none					0.94789726	False	False			+neighbor_inf
