OG_id	propagated_root_og
OG00000	COG3146
OG00003	COG1595
OG00004	COG0758
OG00005	COG2910
OG00009	COG0765
OG00014	COG1023
OG00016	COG2205
OG00017	COG1638
OG00019	COG0583
OG00021	COG0212
OG00023	32V0E
OG00024	COG0824
OG00025	COG3127
OG00030	COG0656
OG00031	COG0239
OG00032	COG2186
OG00033	COG4373
OG00034	COG1064
OG00036	COG1902
OG00037	COG4319
OG00042	COG1749
OG00045	COG1012
OG00046	COG4102
OG00048	330WG
OG00049	COG2370
OG00053	COG0625
OG00055	COG0318
OG00059	COG2050
OG00061	COG0111
OG00062	COG5266
OG00065	COG1511
OG00066	COG3549
OG00070	COG0330
OG00071	COG3842
OG00074	COG0834
OG00075	COG1309
OG00076	COG2761
OG00079	COG1011
OG00083	COG3755
OG00085	COG1546
OG00087	COG0456
OG00088	COG0715
OG00089	COG1409
OG00091	COG4099
OG00093	COG0683
OG00098	COG0845
OG00099	COG2814
OG00100	COG3484
OG00101	COG2204
OG00102	COG0438
OG00103	COG2206
OG00104	32TGY
OG00105	COG2207
OG00106	COG1075
OG00109	COG3825
OG00110	COG1074
OG00113	33CJ3
OG00116	COG0325
OG00119	COG1280
OG00126	32VE4
OG00128	COG1538
OG00132	COG4177
OG00133	2Z8CV
OG00135	COG2197
OG00137	COG1033
OG00138	COG4259
OG00139	COG0236
OG00140	COG5653
OG00141	COG3671
OG00143	COG4221
OG00145	33YUQ
OG00148	COG0583
OG00149	COG2308
OG00151	COG1127
OG00153	COG1765
OG00154	32YCK
OG00156	COG1522
OG00157	COG0628
OG00158	COG0612
OG00165	COG2515
OG00166	COG0121
OG00167	COG0779
OG00168	COG3279
OG00170	COG2022
OG00171	COG2853
OG00172	COG0559
OG00173	COG3071
OG00174	COG1414
OG00175	COG3447
OG00177	COG1804
OG00178	COG2836
OG00179	COG0179
OG00180	COG1737
OG00182	COG4267
OG00184	COG1073
OG00185	COG1778
OG00186	COG2220
OG00188	COG1804
OG00189	COG0665
OG00190	COG0834
OG00191	COG3218
OG00192	COG2207
OG00193	COG0742
OG00194	COG2267
OG00197	COG2717
OG00199	COG1533
OG00202	COG1832
OG00205	COG2104
OG00206	COG2141
OG00210	COG0367
OG00211	33AS4
OG00212	COG3198
