taxon_name	species_norm	genus_norm	gtdb_species_clade_id	GTDB_species	n_files	mean_abundance	mapping_tier	n_gtdb_clades_for_genus
Burkholderia cenocepacia	burkholderia_cenocepacia	burkholderia	s__Burkholderia_cenocepacia--RS_GCF_900446215.1	s__Burkholderia_cenocepacia	3575	0.00011147445291173799	species_exact	1
Streptomyces albus	streptomyces_albus	streptomyces	s__Streptomyces_albus--RS_GCF_000725885.1	s__Streptomyces_albus	3575	8.06302510121825e-05	species_exact	1
Stutzerimonas stutzeri	stutzerimonas_stutzeri	stutzerimonas	s__Stutzerimonas_stutzeri--RS_GCF_000219605.1	s__Stutzerimonas_stutzeri	3575	0.00027045425366486504	species_exact	1
Ralstonia solanacearum	ralstonia_solanacearum	ralstonia	s__Ralstonia_solanacearum--RS_GCF_002251695.1	s__Ralstonia_solanacearum	3574	0.0001764061966242233	species_exact	1
Nocardia cyriacigeorgica	nocardia_cyriacigeorgica	nocardia	s__Nocardia_cyriacigeorgica--RS_GCF_000308555.1	s__Nocardia_cyriacigeorgica	3574	0.00020612109621091033	species_exact	1
Rhizorhabdus wittichii	rhizorhabdus_wittichii	rhizorhabdus	s__Rhizorhabdus_wittichii--GB_GCA_000016765.1	s__Rhizorhabdus_wittichii	3574	0.00029498662131552915	species_exact	1
Achromobacter xylosoxidans	achromobacter_xylosoxidans	achromobacter	s__Achromobacter_xylosoxidans--RS_GCF_001457475.1	s__Achromobacter_xylosoxidans	3574	0.00010163262198460335	species_exact	1
Bradyrhizobium diazoefficiens	bradyrhizobium_diazoefficiens	bradyrhizobium	s__Bradyrhizobium_diazoefficiens--RS_GCF_000011365.1	s__Bradyrhizobium_diazoefficiens	3574	0.003212066673699373	species_exact	1
Variovorax paradoxus	variovorax_paradoxus	variovorax	s__Variovorax_paradoxus--RS_GCF_001591365.1	s__Variovorax_paradoxus	3574	0.0013317436858819806	species_exact	1
Burkholderia gladioli	burkholderia_gladioli	burkholderia	s__Burkholderia_gladioli--RS_GCF_000959725.1	s__Burkholderia_gladioli	3574	0.000685627180143807	species_exact	1
Streptomyces lydicus	streptomyces_lydicus	streptomyces	s__Streptomyces_lydicus--RS_GCF_000717345.1	s__Streptomyces_lydicus	3574	0.00023260418899569076	species_exact	1
Kitasatospora setae	kitasatospora_setae	kitasatospora	s__Kitasatospora_setae--RS_GCF_000269985.1	s__Kitasatospora_setae	3574	0.0002283040305885755	species_exact	1
Azospirillum brasilense	azospirillum_brasilense	azospirillum	s__Azospirillum_brasilense--RS_GCF_001315015.1	s__Azospirillum_brasilense	3573	3.6062632561877723e-05	species_exact	1
Streptomyces venezuelae	streptomyces_venezuelae	streptomyces	s__Streptomyces_venezuelae--RS_GCF_008639165.1	s__Streptomyces_venezuelae	3573	6.03230542710914e-05	species_exact	1
Cupriavidus pinatubonensis	cupriavidus_pinatubonensis	cupriavidus	s__Cupriavidus_pinatubonensis--RS_GCF_019602855.1	s__Cupriavidus_pinatubonensis	3573	9.815402137848841e-05	species_exact	1
Micromonospora aurantiaca	micromonospora_aurantiaca	micromonospora	s__Micromonospora_aurantiaca--RS_GCF_000145235.1	s__Micromonospora_aurantiaca	3573	0.0004630322384514799	species_exact	1
Azospirillum lipoferum	azospirillum_lipoferum	azospirillum	s__Azospirillum_lipoferum--RS_GCF_024170005.1	s__Azospirillum_lipoferum	3573	0.00018701703579263618	species_exact	1
Burkholderia ubonensis	burkholderia_ubonensis	burkholderia	s__Burkholderia_ubonensis--RS_GCF_902833085.1	s__Burkholderia_ubonensis	3573	6.275443994170265e-05	species_exact	1
Bradyrhizobium japonicum	bradyrhizobium_japonicum	bradyrhizobium	s__Bradyrhizobium_japonicum--RS_GCF_000284375.1	s__Bradyrhizobium_japonicum	3573	0.011856251018566955	species_exact	1
Acidobacterium capsulatum	acidobacterium_capsulatum	acidobacterium	s__Acidobacterium_capsulatum--RS_GCF_000022565.1	s__Acidobacterium_capsulatum	3573	0.016490301937363547	species_exact	1
Streptomyces hygroscopicus	streptomyces_hygroscopicus	streptomyces	s__Streptomyces_hygroscopicus--RS_GCF_001553455.1	s__Streptomyces_hygroscopicus	3573	0.0012806095168715632	species_exact	1
Stenotrophomonas maltophilia	stenotrophomonas_maltophilia	stenotrophomonas	s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1	s__Stenotrophomonas_maltophilia	3573	0.0004209676965895475	species_exact	1
Burkholderia cepacia	burkholderia_cepacia	burkholderia	s__Burkholderia_cepacia--RS_GCF_001411495.1	s__Burkholderia_cepacia	3573	0.00019348966755324885	species_exact	1
Achromobacter denitrificans	achromobacter_denitrificans	achromobacter	s__Achromobacter_denitrificans--RS_GCF_001571365.1	s__Achromobacter_denitrificans	3573	1.435005963062723e-05	species_exact	1
Amycolatopsis methanolica	amycolatopsis_methanolica	amycolatopsis	s__Amycolatopsis_methanolica--RS_GCF_000739085.1	s__Amycolatopsis_methanolica	3572	9.718645829597502e-05	species_exact	1
Sinorhizobium fredii	sinorhizobium_fredii	sinorhizobium	s__Sinorhizobium_fredii--RS_GCF_001461695.1	s__Sinorhizobium_fredii	3572	0.00027079792233109163	species_exact	1
Nocardia terpenica	nocardia_terpenica	nocardia	s__Nocardia_terpenica--RS_GCF_013186535.1	s__Nocardia_terpenica	3572	4.096627161325946e-05	species_exact	1
Pseudonocardia dioxanivorans	pseudonocardia_dioxanivorans	pseudonocardia	s__Pseudonocardia_dioxanivorans--RS_GCF_000196675.2	s__Pseudonocardia_dioxanivorans	3572	0.0010174490568388877	species_exact	1
Amycolatopsis mediterranei	amycolatopsis_mediterranei	amycolatopsis	s__Amycolatopsis_mediterranei--RS_GCF_000220945.1	s__Amycolatopsis_mediterranei	3572	0.0012290514209964628	species_exact	1
